Date,Sales,Category,Region
2023-01-15,45000,Electronics,North
2023-02-14,48000,Electronics,North
2023-03-10,52000,Software,West
2023-04-05,58000,Furniture,East
2023-05-20,60000,Electronics,North
2023-06-15,65000,Software,West
2023-07-22,63000,Furniture,East
2023-08-18,68000,Electronics,North
2023-09-12,71000,Software,West
2023-10-05,75000,Furniture,East
2023-11-20,85000,Electronics,North
2023-12-15,95000,Software,West
2024-01-10,88000,Electronics,North
2024-02-14,92000,Software,West
2024-03-20,98000,Furniture,East
2024-04-15,105000,Electronics,North
2024-05-10,110000,Software,West
2024-06-05,115000,Furniture,East
2024-07-20,112000,Electronics,North
2024-08-15,118000,Software,West
2024-09-10,122000,Furniture,East
2024-10-05,128000,Electronics,North
2024-11-20,140000,Software,West
2024-12-15,155000,Furniture,East
2025-01-10,145000,Electronics,North
2025-02-14,150000,Software,West
2025-03-20,160000,Furniture,East
2025-04-15,168000,Electronics,North
2025-05-10,175000,Software,West
2025-06-05,182000,Furniture,East
2025-07-20,178000,Electronics,North
2025-08-15,185000,Software,West
2025-09-10,192000,Furniture,East
2025-10-05,198000,Electronics,North
2025-11-20,215000,Software,West
2025-12-15,240000,Furniture,East
